fecha,id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
2020-03-21,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-21,7,Maule,15,1,,,0,0,0.0,0
2020-03-21,15,Arica y Parinacota,1,0,,,0,0,0.0,0
2020-03-22,9,Araucanía,27,12,,,0,0,0.0,0
2020-03-22,11,Aysén,1,0,,,0,0,0.0,0
2020-03-22,12,Magallanes,4,1,,,0,0,0.0,0
2020-03-22,10,Los Lagos,23,3,,,0,0,0.0,0
2020-03-22,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-22,8,Biobío,35,5,,,0,0,0.0,0
2020-03-22,3,Atacama,1,0,,,0,0,0.0,0
2020-03-22,16,Ñuble,64,6,,,0,0,0.0,0
2020-03-22,7,Maule,25,10,,,0,0,0.0,0
2020-03-22,6,O’Higgins,8,1,,,0,0,0.0,0
2020-03-22,13,Metropolitana,409,50,,,0,0,0.0,0
2020-03-22,5,Valparaíso,16,3,,,0,0,0.0,0
2020-03-22,4,Coquimbo,5,2,,,0,0,0.0,0
2020-03-22,15,Arica y Parinacota,2,1,,,0,0,0.0,0
2020-03-22,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-22,2,Antofagasta,11,1,,,0,0,0.0,0
2020-03-23,15,Arica y Parinacota,2,0,,,0,0,0.0,0
2020-03-23,1,Tarapacá,1,1,,,0,0,0.0,0
2020-03-23,2,Antofagasta,11,0,,,0,0,0.0,0
2020-03-23,3,Atacama,1,0,,,0,0,0.0,0
2020-03-23,4,Coquimbo,6,1,,,0,0,0.0,0
2020-03-23,5,Valparaíso,19,3,,,0,0,0.0,0
2020-03-23,10,Los Lagos,33,10,,,0,0,0.0,0
2020-03-23,6,O’Higgins,8,0,,,0,0,0.0,0
2020-03-23,7,Maule,28,3,,,0,0,0.0,0
2020-03-23,16,Ñuble,81,17,,,0,0,0.0,0
2020-03-23,8,Biobío,46,11,,,0,0,0.0,0
2020-03-23,9,Araucanía,40,13,,,0,0,0.0,0
2020-03-23,14,Los Ríos,4,3,,,0,0,0.0,0
