fecha,id_region,nombre_region,id_comuna,nombre_comuna,casos_totales,poblacion,tasa
30-03-2020,11,Aisen,11202,Cisnes,0,5828,0.0
30-03-2020,11,Aisen,11301,Cochrane,0,3685,0.0
30-03-2020,11,Aisen,11101,Coyhaique,2,61210,3.2674399607907203
30-03-2020,11,Aisen,11203,Guaitecas,0,1599,0.0
30-03-2020,11,Aisen,11102,Lago Verde,0,920,0.0
30-03-2020,11,Aisen,11302,O'Higgins,0,661,0.0
30-03-2020,11,Aisen,11402,Río Ibáñez,0,2699,0.0
30-03-2020,11,Aisen,11303,Tortel,0,572,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12202,Antártica,0,137,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12201,Cabo de Hornos,5,1983,252.14321734745334
30-03-2020,12,Magallanes y la Antartica Chilena,12102,Laguna Blanca,0,264,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12401,Natales,1,23782,4.204860819106888
30-03-2020,12,Magallanes y la Antartica Chilena,12301,Porvenir,0,7323,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12302,Primavera,0,694,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12101,Punta Arenas,29,141984,20.42483660130719
30-03-2020,12,Magallanes y la Antartica Chilena,12103,Río Verde,0,211,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12104,San Gregorio,0,681,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12303,Timaukel,0,282,0.0
30-03-2020,12,Magallanes y la Antartica Chilena,12402,Torres del Paine,0,1021,0.0
01-04-2020,15,Arica y Parinacota,15101,Arica,6,247552,2.4237331954498447
01-04-2020,15,Arica y Parinacota,15102,Camarones,0,1233,0.0
01-04-2020,15,Arica y Parinacota,15202,General Lagos,0,810,0.0
01-04-2020,15,Arica y Parinacota,15201,Putre,0,2515,0.0
01-04-2020,1,Tarapaca,1107,Alto Hospicio,1,129999,0.7692366864360495
01-04-2020,1,Tarapaca,1402,Camiña,0,1375,0.0
01-04-2020,1,Tarapaca,1403,Colchane,0,1583,0.0
01-04-2020,1,Tarapaca,1404,Huara,0,3000,0.0
01-04-2020,1,Tarapaca,1101,Iquique,9,223463,4.027512384600583
01-04-2020,1,Tarapaca,1405,Pica,0,5958,0.0
01-04-2020,1,Tarapaca,1401,Pozo Almonte,0,17395,0.0
01-04-2020,2,Antofagasta,2101,Antofagasta,32,425725,7.516589347583534
01-04-2020,2,Antofagasta,2201,Calama,3,190336,1.5761600537995966
01-04-2020,2,Antofagasta,2302,María Elena,0,6814,0.0
01-04-2020,2,Antofagasta,2102,Mejillones,0,14776,0.0
01-04-2020,2,Antofagasta,2202,Ollagüe,0,287,0.0
01-04-2020,2,Antofagasta,2203,San Pedro de Atacama,2,10434,19.168104274487252
