id_region,nombre_region,id_comuna,nombre_comuna,poblacion,casos_totales,tasa
10,Los Lagos,,Hualaihué,9525,-,31.5
10,Los Lagos,,Llanquihue,18621,-,0
10,Los Lagos,,Los Muermos,17817,-,5.6
10,Los Lagos,,Maullín,14894,-,0
10,Los Lagos,,Osorno,173410,120,69.2
10,Los Lagos,,Palena,1827,-,0
10,Los Lagos,,Puerto Montt,269398,44,16.3
10,Los Lagos,,Puerto Octay,9192,-,10.9
10,Los Lagos,,Puerto Varas,48620,-,2.1
10,Los Lagos,,Puqueldón,4201,-,0
10,Los Lagos,,Purranque,21080,-,4.7
10,Los Lagos,,Puyehue,11787,-,8.5
10,Los Lagos,,Queilén,5543,-,0
10,Los Lagos,,Quellón,29309,-,0
10,Los Lagos,,Quemchi,8783,-,0
10,Los Lagos,,Quinchao,8298,-,12.1
10,Los Lagos,,Río Negro,14275,-,0
10,Los Lagos,,San Juan de la Costa,7639,-,0
10,Los Lagos,,San Pablo,10553,-,9.5
11,Aisen,,Aisén,25002,-,4
11,Aisen,,Chile Chico,5121,-,0
11,Aisen,,Cisnes,5828,-,0
11,Aisen,,Cochrane,3685,-,0
11,Aisen,,Coyhaique,61210,-,3.3
11,Aisen,,Guaitecas,1599,-,0
11,Aisen,,Lago Verde,920,-,0
11,Aisen,,O'Higgins,661,-,0
11,Aisen,,Río Ibáñez,2699,-,0
11,Aisen,,Tortel,572,-,0
12,Magallanes y la Antartica Chilena,,Antártica,137,-,0
12,Magallanes y la Antartica Chilena,,Cabo de Hornos,1983,6,302.6
12,Magallanes y la Antartica Chilena,,Laguna Blanca,264,-,0
12,Magallanes y la Antartica Chilena,,Natales,23782,4,16.8
12,Magallanes y la Antartica Chilena,,Porvenir,7323,-,27.3
12,Magallanes y la Antartica Chilena,,Primavera,694,-,0
12,Magallanes y la Antartica Chilena,,Punta Arenas,141984,87,61.3
12,Magallanes y la Antartica Chilena,,Río Verde,211,-,0
12,Magallanes y la Antartica Chilena,,San Gregorio,681,-,0
12,Magallanes y la Antartica Chilena,,Timaukel,282,-,0
12,Magallanes y la Antartica Chilena,,Torres del Paine,1021,-,0
13,Metropolitana,,Alhué,7405,-,0
13,Metropolitana,,Buin,109641,8,7.3
13,Metropolitana,,Calera de Tango,28525,7,24.5
13,Metropolitana,,Cerrillos,88956,4,4.5
13,Metropolitana,,Cerro Navia,142465,21,14.7
13,Metropolitana,,Colina,180353,39,21.6
13,Metropolitana,,Conchalí,139195,18,12.9
13,Metropolitana,,Curacaví,36430,5,13.7
13,Metropolitana,,El Bosque,172000,28,16.3
13,Metropolitana,,El Monte,40014,-,2.5
13,Metropolitana,,Estación Central,206792,22,10.6
13,Metropolitana,,Huechuraba,112528,19,16.9
13,Metropolitana,,Independencia,142065,17,12
13,Metropolitana,,Isla de Maipo,40171,-,2.5
13,Metropolitana,,La Cisterna,100434,12,11.9
13,Metropolitana,,La Florida,402433,58,14.4
13,Metropolitana,,La Granja,122557,8,6.5
13,Metropolitana,,La Pintana,189335,10,5.3
13,Metropolitana,,La Reina,100252,26,25.9
13,Metropolitana,,Lampa,126898,10,7.9
13,Metropolitana,,Las Condes,330759,208,62.9
13,Metropolitana,,Lo Barnechea,124076,78,62.9
13,Metropolitana,,Lo Espejo,103865,7,6.7
13,Metropolitana,,Lo Prado,104403,18,17.2
13,Metropolitana,,Macul,134635,15,11.1
13,Metropolitana,,Maipú,578605,55,9.5
13,Metropolitana,,María Pinto,14926,-,0
13,Metropolitana,,Melipilla,141612,8,5.6
13,Metropolitana,,Ñuñoa,250192,84,33.6
13,Metropolitana,,Padre Hurtado,74188,11,14.8
13,Metropolitana,,Paine,82766,-,3.6
13,Metropolitana,,Pedro Aguirre Cerda,107803,13,12.1
13,Metropolitana,,Peñaflor,101058,13,12.9
13,Metropolitana,,Peñalolén,266798,46,17.2
13,Metropolitana,,Pirque,30433,-,6.6
13,Metropolitana,,Providencia,157749,87,55.2
13,Metropolitana,,Pudahuel,253139,25,9.9
13,Metropolitana,,Puente Alto,645909,58,9
13,Metropolitana,,Quilicura,254694,29,11.4
13,Metropolitana,,Quinta Normal,136368,25,18.3
13,Metropolitana,,Recoleta,190075,23,12.1
13,Metropolitana,,Renca,160847,14,8.7
13,Metropolitana,,San Bernardo,334836,41,12.2
13,Metropolitana,,San Joaquín,103485,24,23.2
13,Metropolitana,,San José de Maipo,18644,-,10.7
13,Metropolitana,,San Miguel,133059,32,24
13,Metropolitana,,San Pedro,11953,-,0
13,Metropolitana,,San Ramón,86510,6,6.9
13,Metropolitana,,Santiago,503147,156,31
13,Metropolitana,,Talagante,81838,5,6.1
13,Metropolitana,,Tiltil,21477,-,9.3
13,Metropolitana,,Vitacura,96774,90,93
13,Metropolitana,,Por determinar,,27,
14,Los Rios,,Corral,5447,-,0
14,Los Rios,,Futrono,15261,-,13.1
14,Los Rios,,La Unión,39538,9,22.8
14,Los Rios,,Lago Ranco,10292,-,9.7
14,Los Rios,,Lanco,17652,-,5.7
14,Los Rios,,Los Lagos,20518,-,0
14,Los Rios,,Máfil,7389,-,13.5
14,Los Rios,,Mariquina,23250,-,8.6
14,Los Rios,,Paillaco,20798,-,4.8
14,Los Rios,,Panguipulli,35991,-,0
14,Los Rios,,Río Bueno,32925,-,6.1
14,Los Rios,,Valdivia,176774,45,25.5
15,Arica y Parinacota,,Arica,247552,6,2.4
15,Arica y Parinacota,,Camarones,1233,-,0
15,Arica y Parinacota,,General Lagos,810,-,0
15,Arica y Parinacota,,Putre,2515,-,0
16,Nuble,,Bulnes,22607,18,79.6
16,Nuble,,Chillán,198624,173,87.1
16,Nuble,,Chillán Viejo,33827,22,65
16,Nuble,,Cobquecura,5275,-,0
16,Nuble,,Coelemu,16845,-,5.9
16,Nuble,,Coihueco,28375,-,10.6
16,Nuble,,El Carmen,12334,-,16.2
16,Nuble,,Ninhue,5414,-,0
16,Nuble,,Ñiquén,11567,-,0
16,Nuble,,Pemuco,8639,-,0
16,Nuble,,Pinto,11880,-,16.8
16,Nuble,,Portezuelo,4940,-,0
16,Nuble,,Quillón,18777,7,37.3
16,Nuble,,Quirihue,12192,-,0
16,Nuble,,Ránquil,6261,-,16
16,Nuble,,San Carlos,56252,13,23.1
16,Nuble,,San Fabián,4654,5,107.4
16,Nuble,,San Ignacio,16624,-,6
16,Nuble,,San Nicolás,12172,-,16.4
16,Nuble,,Treguaco,5696,-,0
16,Nuble,,Yungay,18596,7,37.6
