id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,Fecha
14,LosRios,0,0,0,0,0,0,2020-03-13
10,LosLagos,0,1,0,0,0,0,2020-03-13
11,Aysen,0,0,0,0,0,0,2020-03-13
12,Magallanes,0,0,0,0,0,0,2020-03-13
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-14
1,Tarapaca,0,0,0,0,0,0,2020-03-14
2,Antofagasta,0,2,0,0,0,0,2020-03-14
3,Atacama,0,1,0,0,0,0,2020-03-14
4,Coquimbo,0,0,0,0,0,0,2020-03-14
5,Vaparaiso,0,0,0,0,0,0,2020-03-14
13,Metropolitana,11,40,0,0,0,0,2020-03-14
6,Ohiggins,0,0,0,0,0,0,2020-03-14
7,Maule,1,9,0,0,0,0,2020-03-14
16,Nuble,1,4,0,0,0,0,2020-03-14
8,Biobio,2,3,0,0,0,0,2020-03-14
9,Araucania,0,0,0,0,0,0,2020-03-14
14,LosRios,0,0,0,0,0,0,2020-03-14
10,LosLagos,0,1,0,0,0,0,2020-03-14
11,Aysen,0,1,0,0,0,0,2020-03-14
12,Magallanes,0,0,0,0,0,0,2020-03-14
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-15
1,Tarapaca,0,0,0,0,0,0,2020-03-15
2,Antofagasta,0,2,0,0,0,0,2020-03-15
3,Atacama,0,1,0,0,0,0,2020-03-15
4,Coquimbo,0,0,0,0,0,0,2020-03-15
5,Vaparaiso,0,0,0,0,0,0,2020-03-15
13,Metropolitana,11,54,0,0,0,0,2020-03-15
6,Ohiggins,0,0,0,0,0,0,2020-03-15
7,Maule,1,9,0,0,0,0,2020-03-15
16,Nuble,1,4,0,0,0,0,2020-03-15
8,Biobio,2,3,0,0,0,0,2020-03-15
9,Araucania,0,0,0,0,0,0,2020-03-15
14,LosRios,0,0,0,0,0,0,2020-03-15
10,LosLagos,0,1,0,0,0,0,2020-03-15
11,Aysen,0,1,0,0,0,0,2020-03-15
12,Magallanes,0,0,0,0,0,0,2020-03-15
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-16
1,Tarapaca,0,0,0,0,0,0,2020-03-16
2,Antofagasta,0,2,0,0,0,0,2020-03-16
3,Atacama,0,1,0,0,0,0,2020-03-16
4,Coquimbo,0,0,0,0,0,0,2020-03-16
5,Vaparaiso,0,1,0,0,0,0,2020-03-16
13,Metropolitana,4,123,0,0,0,0,2020-03-16
6,Ohiggins,0,0,0,0,0,0,2020-03-16
7,Maule,2,9,0,0,0,0,2020-03-16
16,Nuble,0,12,0,0,0,0,2020-03-16
8,Biobio,0,4,0,0,0,0,2020-03-16
9,Araucania,0,1,0,0,0,0,2020-03-16
14,LosRios,0,1,0,0,0,0,2020-03-16
10,LosLagos,0,1,0,0,0,0,2020-03-16
11,Aysen,0,1,0,0,0,0,2020-03-16
12,Magallanes,0,0,0,0,0,0,2020-03-16
